anime title,release_date,genre,ep_nos.,synopsis,video_link,more_info.
Skip to Loafer,2023-04-04,Drama,"12 eps,          23 min ","In order to pursue her dream of bringing positive changes to Japan, Mitsumi Iwakura leaves her countryside town to attend a prestigious high school in the hustle and bustle of Tokyo. As she has already mapped a clear life plan, she has absolute confidence that there will be zero mishaps from then onwards.

Despite her ambitious promise, the country girl ends up running late on the first day when she gets lost on her way to school. Fortunately, she meets a fellow first-year student, Sousuke Shima, who is in the same situation and offers to go with her. They eventually make it to school, but the misfortunes do not end there, as Mitsumi leaves an unfavorable first impression in front of her classmates.

Nevertheless, the class soon takes notice of her friendship with Sousuke despite their opposing personalities. Only time will tell whether Mitsumi will be able to forge fruitful relationships with her classmates, and she will certainly not be alone.

[Written by MAL Rewrite]",https://myanimelist.net/anime/50416/Skip_to_Loafer/video,https://myanimelist.net/anime/50416/Skip_to_Loafer
Mahoutsukai no Yome Season 2,2023-04-06,DramaFantasyRomance,"12 eps,          24 min ","Apprentice mage Chise Hatori is invited to enroll at the College, a prestigious learning institution for sorcerers, to examine and look for a way to remove the curses she bears. Despite her groom Elias Ainsworth's reluctance, Chise accepts the proposal, as she believes attending the school might help her minimize her self-sacrificing tendencies.

From the get-go, Chise grabs the attention of her classmates and professors alike, who have never seen a mage in action before. However, there is a sinister plot brewing behind the College's back, and the young mage will have to determine who is friend or foe in order to put a stop to it.

[Written by MAL Rewrite]",https://myanimelist.net/anime/52955/Mahoutsukai_no_Yome_Season_2/video,https://myanimelist.net/anime/52955/Mahoutsukai_no_Yome_Season_2
Kimi wa Houkago Insomnia,2023-04-11,Romance,"13 eps,          23 min ","High schooler Ganta Nakami has trouble falling asleep most nights. As a result, he is irritable at school, always searching for an opportunity to find a secluded place to doze off. On the other hand, Isaki Magari is a free spirit who is well liked by her friends, but no one is aware of her sleep disorder. She makes use of the school's abandoned astronomy club observatory as her secret sleeping bunker when she needs to get some shut-eye. 

As fate would have it, Nakami finds Magari napping in the observatory. When Magari discovers that she and Nakami have something in common, she offers to share her secret sleeping spot with her fellow insomniac. As the two find warmth in each other's company, the struggles they face start to become easier to confront.

[Written by MAL Rewrite]",https://myanimelist.net/anime/50796/Kimi_wa_Houkago_Insomnia/video,https://myanimelist.net/anime/50796/Kimi_wa_Houkago_Insomnia
Dead Mount Death Play,2023-04-11,ActionFantasySupernatural,"12 eps,          23 min ","It's a showdown for the ages as the legendary hero takes on the corpse god necromancer, but when the dust settles, something isn't quite right... In the final moments of their epic confrontation, the corpse god's final gambit shot was wholly unexpected—reincarnation magic! Across space and time, a boy named Polka Shinoyama awakens feeling...not quite himself... Who could've expected that the climactic battle between good and evil would turn out like this?

(Source: Yen Press, edited)",https://myanimelist.net/anime/53613/Dead_Mount_Death_Play/video,https://myanimelist.net/anime/53613/Dead_Mount_Death_Play
Boku no Kokoro no Yabai Yatsu,2023-04-02,Comedy,"12 eps,          23 min ","Kyoutarou Ichikawa may look like a shy and reserved middle school student, but deep within his heart is a bloodthirsty killer. His ultimate desire is to see his classmate Anna Yamada's beautiful face writhing in pain before he ends her life. But this fantasy may never come to fruition, as Ichikawa starts to see an entirely different side to Yamada.

Often seeking refuge in the library, Ichikawa frequently runs into Yamada. It is during these encounters that Ichikawa realizes his model classmate is actually an airhead who can never read the room. As they spend more time together, the boy cannot help but feel not only a sense of endearment toward the very girl he wishes to murder but also a desire to protect her at all costs. Is it possible that this sudden change in Ichikawa's perspective could lead to something more?

[Written by MAL Rewrite]",https://myanimelist.net/anime/52578/Boku_no_Kokoro_no_Yabai_Yatsu/video,https://myanimelist.net/anime/52578/Boku_no_Kokoro_no_Yabai_Yatsu
Ousama Ranking: Yuuki no Takarabako,2023-04-14,AdventureFantasy,"10 eps,          22 min ",New entry in Ousama Ranking franchise.,https://myanimelist.net/anime/52657/Ousama_Ranking__Yuuki_no_Takarabako/video,https://myanimelist.net/anime/52657/Ousama_Ranking__Yuuki_no_Takarabako
Kaminaki Sekai no Kamisama Katsudou,2023-04-06,ActionComedyFantasy,"12 eps,          23 min ","Under the belief that the omnipotent god Mitama will come to save him, Yukito Urabe participates in a ritual to become the new leader of his father's cult. But when the boy drowns during the ritual, he wishes to be reborn in a world without gods or religion.

Reawakening in a completely different world devoid of spirituality. He meets a deviant girl named Aruaru, who introduces him to her village. However, his idyllic image of this world's society is short-lived when he witnesses a public group suicide and learns of the country's end-of-life system: at any moment, the government may order any citizen to die.

Aruaru and her sister are forcibly taken for execution soon after, prompting Yukito to rush to their rescue—but to no avail. In a moment of desperation, Yukito recalls his father's teachings and utters a prayer for Mitama to save them. Seemingly answering his call, a little girl descends from the sky and annihilates everyone who harmed Yukito and his friends. To Yukito's surprise, the girl introduces herself as Mitama.

[Written by MAL Rewrite]",https://myanimelist.net/anime/51693/Kaminaki_Sekai_no_Kamisama_Katsudou/video,https://myanimelist.net/anime/51693/Kaminaki_Sekai_no_Kamisama_Katsudou
Isekai Shoukan wa Nidome desu,2023-04-09,AdventureComedyFantasyRomance,"12 eps,          23 min ","There was once a man who was summoned to another world, and saved it. Of course, he became too popular there, and turned into an isekai-normie. However, that man fell into a ""trap"" and was forcibly returned to his original world. Moreover, he had to start over as a baby!

This is the story of the way-too-fantastic ex-hero who lived as a gloomy high-schooler, as he gets summoned once again to that same other world in a very unexpected development! 

(Source: Coolmic, edited)",https://myanimelist.net/anime/50220/Isekai_Shoukan_wa_Nidome_desu/video,https://myanimelist.net/anime/50220/Isekai_Shoukan_wa_Nidome_desu
My Home Hero,2023-04-02,DramaSuspense,"12 eps,          23 min ","Tetsuo Tosu never expected his daughter, Reika, to be a victim of domestic violence. Suspecting that her yakuza boyfriend, Nobuto Matori, is the perpetrator, Tetsuo decides to investigate him and his associates. But as he searches for evidence at Reika's apartment, the father learns that his daughter is not the first victim and that a worse fate awaits her.

When he is discovered by Nobuto, Tetsuo ends up killing him in the ensuing fight. Assisted by his wife, Tetsuo hides the body in fear of retaliation from the yakuza. To add to the misfortune of the Tosu family, Nobuto happens to be the son of the mafia's head. Considered to be prime suspects behind Nobuto's disappearance, Tetsuo and his wife will have to deploy all their ingenuity to protect their daughter from the yakuza and their ruthless investigation.

[Written by MAL Rewrite]",https://myanimelist.net/anime/52092/My_Home_Hero/video,https://myanimelist.net/anime/52092/My_Home_Hero
Otonari ni Ginga,2023-04-09,RomanceSupernatural,"12 eps,          24 min ","Ichirou Kuga has suddenly found himself taking on the responsibility of caring for his two younger siblings after their father's untimely death. To make ends meet, Ichirou rents out rooms in the apartment complex he inherited and works full-time as a shoujo manga artist. However, his manga sales are low, his assistants have recently left, and deadlines are fast approaching.

As stress threatens to overtake Ichirou, salvation comes in the form of an extremely competent novice artist, Shiori Goshiki, who becomes his new assistant. With her skills, they are able to tide over the difficult situation, and things begin looking up. But in a bizarre accident, a supernatural experience unfolds between Ichirou and Shirou, which leads her to declare them engaged.

With this seemingly innocuous action upending his life, Ichirou now has to manage his new and peculiar relationship with the mysterious girl, all the while following his own passion and fulfilling the duties that rest on his shoulders.

[Written by MAL Rewrite]",https://myanimelist.net/anime/51705/Otonari_ni_Ginga/video,https://myanimelist.net/anime/51705/Otonari_ni_Ginga
Isekai wa Smartphone to Tomo ni. 2,2023-04-03,AdventureComedyFantasyRomance,"12 eps,          23 min ","Touya Mochizuki grows accustomed to his new life in another world. Armed with his trusty smartphone, the teenager accepts small quests at his leisure while spending time with his new fiancées: Yumina Urnea Belfast, Yae Kokonoe, and twin sisters Linse and Elze Shileska. But even in a relaxing environment, Touya is only beginning to understand the responsibilities that come with these engagements.

In addition to his romantic woes, the elder fairy Lean wishes to locate the remaining pieces of Babylon, the floating island that the mysterious Professor Regina Babylon created five thousand years ago. Touya reluctantly accepts her request and seeks out the teleportation circles that will lead to the islands. However, strange monsters have emerged—possibly powerful enough to destroy the world. In order to save the second life he was given, Touya must weaponize ancient technologies to fight these monsters—all while balancing his overwhelming number of relationships.

[Written by MAL Rewrite]",https://myanimelist.net/anime/51632/Isekai_wa_Smartphone_to_Tomo_ni_2/video,https://myanimelist.net/anime/51632/Isekai_wa_Smartphone_to_Tomo_ni_2
Tensei Kizoku no Isekai Boukenroku: Jichou wo Shiranai Kamigami no Shito,2023-04-03,ActionFantasyRomance,"12 eps,          23 min ","On his way to a convenience store, Kazuya Shiina tries to defend two young girls from an armed assailant, only to end up getting stabbed himself and dying on the spot. This good deed allows him to be reborn with all his memories in another world as Cain von Silford, the third son of a margrave.

When Cain turns five, a baptismal ceremony in the church grants him an audience to the seven gods who preside over the world. Not only do the gods fill him in on the circumstances of his reincarnation, but they also give Cain their respective divine protections—allowing him to use cheat-like abilities in swordsmanship, magic, and many other aspects.

With these blessings, Cain sets out to live a fulfilling life that he deems a dream come true. However, it soon becomes clear that the gods have more plans for him than just a haphazard bestowal of overwhelming power.

[Written by MAL Rewrite]",https://myanimelist.net/anime/52608/Tensei_Kizoku_no_Isekai_Boukenroku__Jichou_wo_Shiranai_Kamigami_no_Shito/video,https://myanimelist.net/anime/52608/Tensei_Kizoku_no_Isekai_Boukenroku__Jichou_wo_Shiranai_Kamigami_no_Shito
Kanojo ga Koushaku-tei ni Itta Riyuu,2023-04-10,FantasyRomance,"12 eps,          23 min ","When, after her sudden death, Rinko Hanasaki is reborn as Raeliana McMillan, she is not sure whether to curse her luck. Raeliana was a minor character in a novel Rinko read, and as the eldest daughter of a nouveau-riche baron, she led a carefree life until her unfortunate demise at the hands of her fiancé, Lord Francis Brooks. To avoid her destined fate, Raeliana is determined to end her engagement with Francis.

However, when Francis refuses to break things off, Raeliana decides to seek help from someone of higher standing and approaches Duke Noah Wynknight—the novel's male protagonist. Using her knowledge of the plot, Raeliana captures the duke's interest by proposing a deal: she will not expose his secrets if Noah agrees to act as her fiancé. Little does she know that getting involved with a duke who only shows his true colors around her may lead to more than she bargained for.

[Written by MAL Rewrite]",https://myanimelist.net/anime/52308/Kanojo_ga_Koushaku-tei_ni_Itta_Riyuu/video,https://myanimelist.net/anime/52308/Kanojo_ga_Koushaku-tei_ni_Itta_Riyuu
Yuusha ga Shinda!,2023-04-07,ActionComedyFantasyEcchi,"12 eps,          23 min ","Far to the north of the world lies Hell's Gate, a portal formerly used by the Demon Lord to invade the human realm. Thanks to the legendary hero Shion Bladearts, wielder of Excalibur, and his loyal band of companions, the Gate was sealed off and the demonic threat was vanquished.

Unfortunately, the seal was incomplete and has begun to weaken, allowing the demons to once again begin their attack. Worried about the safety of his village, selfish and perverted farmer Touka Scott dig pitfalls to defend against the demons. But fear not, for Shion is on his way to reseal Hell's Gate and save humanity!

Or at least he was, because the legendary hero is dead, having fallen into one of the pitfalls Touka dug. Luckily, dealing with the dead is the specialty of necromancer Anri Haynesworth. While she can't revive him, Anri can at least salvage their quest by forcing Touka's soul into Shion's rotting body and dragging him along to Hell's Gate in Shion's place. Not wanting to be left behind, Touka's childhood friend Yuna Yunis tags along. Together, the three of them set out as what just might be the most unsuitable party to ever try to save the world!

[Written by MAL Rewrite]",https://myanimelist.net/anime/51706/Yuusha_ga_Shinda/video,https://myanimelist.net/anime/51706/Yuusha_ga_Shinda
Megami no Café Terrace,2023-04-08,ComedyRomanceEcchi,"12 eps,          23 min ","When Hayato's grandmother passed, he planned to sell her rundown café on the shore—not realizing that it was also home to five young women who call themselves her family?! Their desperation to keep the café open convinces Hayato to give it a shot...but even their best intentions might not be enough to make it work! And can he even work with these five unruly women? No matter what, he's got his work cut out for him!

(Source: Kodansha USA)",https://myanimelist.net/anime/52973/Megami_no_Caf%C3%A9_Terrace/video,https://myanimelist.net/anime/52973/Megami_no_Café_Terrace
Isekai One Turn Kill Neesan: Ane Douhan no Isekai Seikatsu Hajimemashita,2023-04-08,ComedyFantasy,"12 eps,          23 min ","While saving a child from harm, otaku Asahi Ikusaba is transported to another world and believes he has reincarnated with cheat skills similar to those of the characters from his favorite games and novels. Unfortunately, reality strikes when an encounter with a powerful monster shows that he is still nothing more than an average person.

In this moment of extreme danger, Asahi instinctively calls out to his overly doting sister, Maya, who appears out of nowhere, possessing the overpowered abilities he thought he had. Maya is ecstatic to see her brother again and resolves to use her newfound powers to protect Asahi no matter what.

Together, the close-knit siblings attempt to find a way back home while enjoying their new lives. However, it soon becomes clear that their arrival in this world may have had a purpose. With the Demon King's overwhelmingly powerful army approaching, no one but Maya seems to be able to stand in its way.

[Written by MAL Rewrite]",https://myanimelist.net/anime/51219/Isekai_One_Turn_Kill_Neesan__Ane_Douhan_no_Isekai_Seikatsu_Hajimemashita/video,https://myanimelist.net/anime/51219/Isekai_One_Turn_Kill_Neesan__Ane_Douhan_no_Isekai_Seikatsu_Hajimemashita
Kuma Kuma Kuma Bear Punch!,2023-04-03,AdventureComedyFantasy,"12 eps,          23 min ","Ever since moving to an in-game world after countless hours of VRMMO grinding, Yuna now calls Crimonia—the city where she started—home. While maintaining her reputation as a renowned adventurer, she continues to manage her businesses; but most importantly, Yuna spends time with the people she has grown to love. Nevertheless, this world has a lot more to offer the carefree adventurer. It is up to Yuna to discover these wonders, and perhaps help more people in need as she encounters their various plights.

[Written by MAL Rewrite]",https://myanimelist.net/anime/45486/Kuma_Kuma_Kuma_Bear_Punch/video,https://myanimelist.net/anime/45486/Kuma_Kuma_Kuma_Bear_Punch
Mahou Shoujo Magical Destroyers,2023-04-08,ActionFantasy,"12 eps,          23 min ","In 2008, the Japanese government began hunting people who identify as otaku in an effort to protect the country's culture. In just one week, the enforcement agency known as the SSC captured almost every otaku by force and confiscated their memorabilia. One passionate man calling himself Otaku Hero refuses to allow this agency to do as they please: he raises a resistance army made up of other displaced geeks who band together to help defend their culture.

Three years later, the fires of rebellion wane as all hope seems lost for otakus. Spurred on by his ally—the magical girl Anarchy—Otaku Hero commands the resistance in an effort to reunite Anarchy with the other two other magical girls: Blue and Pink. By combining the power of this trio, the resistance may be able to defeat the SSC and save otaku culture for everyone.

[Written by MAL Rewrite]",https://myanimelist.net/anime/48981/Mahou_Shoujo_Magical_Destroyers/video,https://myanimelist.net/anime/48981/Mahou_Shoujo_Magical_Destroyers
Kidou Senshi Gundam: Suisei no Majo Season 2,2023-04-09,ActionSci-Fi,"12 eps,          24 min ","After surviving a brutal terrorist attack on Plant Quetta, Suletta Mercury returns to dueling at the Asticassia School of Technology, while Miorine Rembran sits at her injured father's side, waiting to see if he will recover. As the residents of Earth House are preoccupied with their respective troubles, two members of Dawn of Fold—the perpetrators of the attack—secretly infiltrate the school, putting Suletta and her friends at risk.

At the same time, Prospera, Suletta's mother, approaches Miorine to propose the continuation of ""Quiet Zero""—a project headed by Miorine's father that can allegedly end all war. Prospera seems to be another political figure with hidden, opposing motives, and whether she truly has Suletta's well-being at heart remains to be seen.

[Written by MAL Rewrite]",https://myanimelist.net/anime/53199/Kidou_Senshi_Gundam__Suisei_no_Majo_Season_2/video,https://myanimelist.net/anime/53199/Kidou_Senshi_Gundam__Suisei_no_Majo_Season_2
Edens Zero 2nd Season,2023-04-02,ActionAdventureFantasySci-Fi,"? eps,          23 min ","Now in possession of the Edens Zero, Shiki Granbell has gathered the Four Shining Stars. With the help of his new friends, Shiki will be able to breach Dragonfall—the border of the Sakura Cosmos swarming with mechanical dragons. Once that is achieved, he can continue his quest to find the goddess Mother.

Before the Edens Zero crew can advance their journey, they notice a mysterious warship following them. Upon learning that the ship—the Belial Gore—belongs to Drakken Joe, Shiki and his crew attempt to infiltrate it, intent on figuring out why the Dark Alchemist is after them. In the process, the Edens Zero is taken hostage by Drakken's subordinates.

Though they are in a tight situation, Shiki refuses to back down. Working together with his friends, Shiki will have to take down the Dark Alchemist if he hopes to make it out of the Belial Gore alive.

[Written by MAL Rewrite]",https://myanimelist.net/anime/50002/Edens_Zero_2nd_Season/video,https://myanimelist.net/anime/50002/Edens_Zero_2nd_Season
Jijou wo Shiranai Tenkousei ga Guigui Kuru.,2023-04-09,Comedy,"13 eps,          23 min ","Akane Nishimura's quiet nature makes her classmates perceive her as a gloomy and unlikeable person. Combined with her intimidating gaze, it earns Akane the ominous nickname ""Grim Reaper,"" condemning her to endless bullying for her supposed cursed powers that bring misfortune to everyone around her.

However, none of these rumors deter transfer student Taiyou Takada from trying to befriend Akane. As someone who finds the supernatural fascinating, Taiyou approaches the Grim Reaper without hesitation, blissfully unaware of the complicated situation within the class. His bright personality and optimistic worldview may just bring about the change that Akane desperately needs.

[Written by MAL Rewrite]",https://myanimelist.net/anime/53621/Jijou_wo_Shiranai_Tenkousei_ga_Guigui_Kuru/video,https://myanimelist.net/anime/53621/Jijou_wo_Shiranai_Tenkousei_ga_Guigui_Kuru
Ao no Orchestra,2023-04-09,Drama,"24 eps,          25 min ","Hajime Aono used to live for the sound of his violin playing. Ever since he was young, he had admired his world-renowned violinist father, who inspired him to pick up the instrument himself. But following his parents' bitter divorce, Aono swears to never play again and heads for high school without a direction or a prospect.

During a physical education class, the unathletic Aono gets struck in the face with a ball and ends up in the infirmary. There, he meets the brash Ritsuko Akine who begins to play the violin in the room, believing she is alone. However, following a past incident, there have been rumors claiming that Akine is a bully, which has isolated her from her peers—a fact Aono was unaware of.

Akine dreams of enrolling in a school with an orchestra, but her amateurish playing and lack of musical knowledge grates on Aono immensely. Seeing this as a perfect opportunity for the two to become friends, their teacher suggests that Aono teaches Akine how to play the violin, something Aono is vehemently against. However, as the pair spends more time together, they soon learn to understand and help each other—and Aono may finally discover the lost passion and melody in his life.

[Written by MAL Rewrite]",https://myanimelist.net/anime/51614/Ao_no_Orchestra/video,https://myanimelist.net/anime/51614/Ao_no_Orchestra
Watashi no Yuri wa Oshigoto desu!,2023-04-06,ComedyGirls Love,"12 eps,          23 min ","Hime Shiraki appears to have it all: an angelic voice, an innocent personality, and an adorable face that enamors all onlookers. However, her cuteness is all a lie—it is purely an act to achieve her self-centered goal of marrying a rich suitor. Though she often plays up her innocence to gain favor from those around her, Hime's facade does not absolve her of responsibility when an accident leaves Mai Koshiba injured.

Learning that Mai is the manager of Café Liebe—a cafe themed as an all-girls academy—Hime is coerced into taking up a part-time position until Mai recovers. However, Hime's facade cannot cover up her shortcomings at being a waitress, earning her the ire of one of her coworkers, Mitsuki Yano, the elegant ""onee-sama"" who often berates Hime over her mistakes. As Hime struggles to adjust to her new job in addition to Mitsuki's unrelenting hostility, her real personality begins seeping through the cracks.

[Written by MAL Rewrite]",https://myanimelist.net/anime/51817/Watashi_no_Yuri_wa_Oshigoto_desu/video,https://myanimelist.net/anime/51817/Watashi_no_Yuri_wa_Oshigoto_desu
